ID	field.ID	location	field	dgO	dgN	area	WRB	BO_Syst	soty	crop	age_class	age	y_est	samcam	season	year	date	hole	ACA	ACH	ALO	ARO	END	LCA	LRU	LTR	LUM	OCY	OLA	UNK	ACA_BM	ACH_BM	ALO_BM	ARO_BM	END_BM	LCA_BM	LRU_BM	LTR_BM	LUM_BM	OCY_BM	OLA_BM	UNK_BM	pH	mc	cn	sand	silt	clay	ata1	atb1	hum1	ats1	prec1	rad1	ata2	atb2	hum2	ats2	prec2	rad2	soil_coverage	soil_tillage	fertilisation	weed_control	soil_compaction	compaction
43	11	Niederdorla	ND_2011	10.399994	51.136251	9278	Stagnic_Luvisol	SS-LL	tU	Silphie	B_Sp_young	1	2011	1	autumn	2012	08.11.2012	3	2	0	0	1	0	0	0	3	0	0	0	1	0.566	0.000	0.000	0.371	0.000	0.000	0.000	16.065	0.000	0.000	0.000	0	6.77	23.49	8.82	10.1	69.6	20.3	7.11	6.75	89.54	7.86	1.13	1422	7.87	7.45	81.59	6.97	0.00	390	50x50	0	2	4	4	3
44	11	Niederdorla	ND_2011	10.399994	51.136251	9278	Stagnic_Luvisol	SS-LL	tU	Silphie	B_Sp_young	1	2011	1	autumn	2012	08.11.2012	4	2	1	0	2	1	0	0	1	0	0	0	0	1.031	0.379	0.000	0.349	0.029	0.000	0.000	4.594	0.000	0.000	0.000	0	6.77	23.49	8.82	10.1	69.6	20.3	7.11	6.75	89.54	7.86	1.13	1422	7.87	7.45	81.59	6.97	0.00	390	50x50	0	2	4	4	3
45	12	Ronneberg	RO_2011	9.609485	52.295013	1197	Haplic_Luvisol	LLn	ttU	Silphie	B_Sp_young	1	2011	1	autumn	2012	23.10.2012	1	0	0	0	0	0	0	0	1	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.556	0.000	0.000	0.000	0	5.30	15.90	9.86	10.4	75.1	14.5	11.81	11.41	82.77	12.03	3.00	2046	10.85	10.89	94.55	12.53	0.00	383	60x60	0	4	4	5	3
46	12	Ronneberg	RO_2011	9.609485	52.295013	1197	Haplic_Luvisol	LLn	ttU	Silphie	B_Sp_young	1	2011	1	autumn	2012	23.10.2012	2	1	0	0	0	0	0	0	1	0	0	0	0	0.259	0.000	0.000	0.000	0.000	0.000	0.000	6.480	0.000	0.000	0.000	0	5.30	15.90	9.86	10.4	75.1	14.5	11.81	11.41	82.77	12.03	3.00	2046	10.85	10.89	94.55	12.53	0.00	383	60x60	0	4	4	5	3
47	12	Ronneberg	RO_2011	9.609485	52.295013	1197	Haplic_Luvisol	LLn	ttU	Silphie	B_Sp_young	1	2011	1	autumn	2012	23.10.2012	3	0	0	0	0	0	0	0	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	8.750	0.000	0.000	0.000	0	5.30	15.90	9.86	10.4	75.1	14.5	11.81	11.41	82.77	12.03	3.00	2046	10.85	10.89	94.55	12.53	0.00	383	60x60	0	4	4	5	3
48	12	Ronneberg	RO_2011	9.609485	52.295013	1197	Haplic_Luvisol	LLn	ttU	Silphie	B_Sp_young	1	2011	1	autumn	2012	23.10.2012	4	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	5.30	15.90	9.86	10.4	75.1	14.5	11.81	11.41	82.77	12.03	3.00	2046	10.85	10.89	94.55	12.53	0.00	383	60x60	0	4	4	5	3
49	13	Dornburg	DO_Mais	11.656488	51.003322	906	Mollic_Leptosol	BB-RR	uuT	Maize	A_Cm	0	2012	1	autumn	2012	18.09.2012	1	1	0	0	0	4	0	0	0	0	0	0	0	0.543	0.000	0.000	0.000	0.555	0.000	0.000	0.000	0.000	0.000	0.000	0	6.34	12.76	8.25	7.4	60.5	32.1	16.95	17.48	67.48	18.98	1.85	3849	16.29	16.58	69.24	16.55	11.20	4130	75x20	1	2	3	6	2
50	13	Dornburg	DO_Mais	11.656488	51.003322	906	Mollic_Leptosol	BB-RR	uuT	Maize	A_Cm	0	2012	1	autumn	2012	18.09.2012	2	1	0	0	0	0	0	0	0	0	0	0	0	0.645	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	6.34	12.76	8.25	7.4	60.5	32.1	16.95	17.48	67.48	18.98	1.85	3849	16.29	16.58	69.24	16.55	11.20	4130	75x20	1	2	3	6	2
51	13	Dornburg	DO_Mais	11.656488	51.003322	906	Mollic_Leptosol	BB-RR	uuT	Maize	A_Cm	0	2012	1	autumn	2012	18.09.2012	3	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	6.34	12.76	8.25	7.4	60.5	32.1	16.95	17.48	67.48	18.98	1.85	3849	16.29	16.58	69.24	16.55	11.20	4130	75x20	1	2	3	6	2
52	13	Dornburg	DO_Mais	11.656488	51.003322	906	Mollic_Leptosol	BB-RR	uuT	Maize	A_Cm	0	2012	1	autumn	2012	18.09.2012	4	0	0	0	1	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.289	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	6.34	12.76	8.25	7.4	60.5	32.1	16.95	17.48	67.48	18.98	1.85	3849	16.29	16.58	69.24	16.55	11.20	4130	75x20	1	2	3	6	2
