"","X.Intercept.","age_class","samcam","scl.ats1","I.scl.ats1.2.","scl.clay","scl.cn","scl.mc","I.scl.mc.2.","scl.pH","scl.prec1","age_class.samcam","scl.cn.scl.pH","scl.mc.scl.pH","df","logLik","AICc","delta","weight","V20"
"579",0.346353492569495,NA,"+",NA,NA,NA,NA,0.0853189303485202,NA,NA,0.117879603692755,NA,NA,NA,7,-104.572593110491,223.796349011679,2.48406495984219,0.0919456010135959,"anc.juv.bm"
"67",0.405281556466608,NA,"+",NA,NA,NA,NA,0.0866946074400094,NA,NA,NA,NA,NA,NA,6,-106.033568537851,224.55268620865,3.24040215681256,0.0629933087447824,"anc.juv.bm"
"513",0.267650277074369,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0632825165360714,NA,NA,NA,4,-108.390641661164,225.009854750899,3.69757069906174,0.0501212083675737,"anc.juv.bm"
"4419",0.198895158926937,NA,"+",NA,NA,NA,NA,0.14507060105698,NA,0.16418945022737,NA,NA,NA,0.11746191305979,8,-81.9176583939808,180.67742205112,0,0.253486235780096,"endo.juv.bm"
"527",0.20949079649988,NA,"+",-0.429138432456993,0.141856887230132,NA,NA,NA,NA,NA,0.181669891183626,NA,NA,NA,8,-82.4816222027217,181.805349668601,1.12792761748176,0.144220837142154,"endo.juv.bm"
"519",0.32295439082521,NA,"+",-0.311488269182836,NA,NA,NA,NA,NA,NA,0.111999682195082,NA,NA,NA,7,-83.7983661249758,182.247895040649,1.57047298952978,0.11559272596344,"endo.juv.bm"
"59563",0.208007978189003,"+","+",NA,NA,NA,NA,0.200342849522,NA,0.184352450145113,0.118077309765203,"+",NA,0.137945991490565,21,-67.310524044125,182.469149354073,1.79172730295326,0.103486986795387,"endo.juv.bm"
"775",0.307245884114898,NA,"+",-0.259019426090127,NA,NA,NA,NA,NA,0.112194759666017,0.110999971801572,NA,NA,NA,8,-83.1884543260519,183.219013915262,2.54159186414211,0.0711303132582897,"endo.juv.bm"
"4931",0.164648194319521,NA,"+",NA,NA,NA,NA,0.14155762752201,NA,0.168140455872561,0.0778393933409939,NA,NA,0.103908252522331,9,-82.1590653870186,183.376954303449,2.69953225232942,0.0657292083783779,"endo.juv.bm"
"543",0.231919328329016,NA,"+",-0.443746463549595,0.140786523481008,0.194561214871136,NA,NA,NA,NA,0.184596272335083,NA,NA,NA,9,-82.2132072749333,183.485238079278,2.80781602815875,0.0622651270567916,"endo.juv.bm"
"7",0.362872137060643,NA,"+",-0.288964606335883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,-85.6316469173936,183.748842967735,3.07142091661552,0.0545762641947385,"endo.juv.bm"
"535",0.344871322281814,NA,"+",-0.328618638128503,NA,0.187477465898806,NA,NA,NA,NA,0.116195327701395,NA,NA,NA,8,-83.5161069739225,183.874319211003,3.19689715988332,0.051257448543387,"endo.juv.bm"
